Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Vandalism,2014,1/22/2014,12:30 AM,1/22/2014,2:45 AM,Madison Gas and Electric,Wisconsin,MRO,N/A,Unknown,"vandalism, physical"
Vandalism,2014,1/21/2014,5:00 PM,Unknown,Unknown,Public Service Electric &Gas,New Jersey,RFC,N/A,Unknown,"vandalism, physical"
Vandalism,2014,1/21/2014,12:14 PM,1/21/2014,12:39 PM,Ameren Missouri,Missouri,SERC,10,Unknown,"vandalism, physical"
Electrical System Separation,2014,1/18/2014,5:39 PM,Unknown,Unknown,First Energy Solutions Corp.,Unknown,RFC,N/A,Unknown,islanding
Public Appeal,2014,1/18/2014,9:00 AM,1/18/2014,9:45 AM,ERCOT,Texas,TRE,N/A,Unknown,public appeal
Physical Attack,2014,1/17/2014,12:20 PM,1/17/2014,12:20 PM,Dayton Power & Light Co,Ohio,RFC,N/A,Unknown,"vandalism, physical"
Vandalism,2014,1/16/2014,12:30 PM,1/16/2014,1:57 PM,Arizona Public Service Co,Arizona,WECC,N/A,N/A,"vandalism, physical"
Vandalism,2014,1/15/2014,2:32 PM,1/15/2014,2:45 PM,PacifiCorp,Utah,WECC,N/A,Unknown,"vandalism, physical"
Vandalism,2014,1/13/2014,4:44 PM,1/13/2014,4:45 PM,Arizona Public Service Co,Arizona,WECC,N/A,N/A,"vandalism, physical"
Voltage Reduction,2014,1/8/2014,6:00 AM,1/8/2014,9:00 AM,South Carolina Electric and Gas,South Carolina,SERC,"4,545","677,858","severe weather, cold"
Voltage Reduction,2014,1/8/2014,5:00 AM,1/8/2014,6:30 AM,American Electric Power,Unknown,RFC,576,Unknown,"severe weather, cold"
Voltage Reduction,2014,1/7/2014,6:00 PM,1/7/2014,11:00 PM,South Carolina Electric and Gas,South Carolina,SERC,"4,853","677,858","severe weather, cold"
Public Appeal,2014,1/7/2014,4:15 PM,1/8/2014,1:20 PM,Duke Energy Progress,North Carolina,SERC,N/A,Unknown,"severe weather, cold"
Voltage Reduction,2014,1/7/2014,7:58 AM,1/7/2014,11:00 AM,Duke Energy Progress,North Carolina,SERC,"14,435",Unknown,"severe weather, cold, public appeal"
Fuel Supply Emergency,2014,1/7/2014,9:30 AM,1/8/2014,9:30 AM,Duke Energy Carolinas,"Piedmont North Carolina, Piedmont South Carolina",SERC,N/A,Unknown,"severe weather, cold"
Fuel Supply Emergency,2014,1/7/2014,10:59 AM,1/9/2014,9:00 AM,"Prairie Power, Inc.",Illinois,RFC,N/A,N/A,"fuel supply emergency, natural gas"
Public Appeal,2014,1/7/2014,9:00 PM,1/8/2014,9:00 AM,PJM Interconnection,Unknown,RFC,N/A,Unknown,"severe weather, cold"
Public Appeal,2014,1/7/2014,6:00 AM,1/7/2014,8:30 AM,Tennessee Valley Authority,Northeast Tennessee,SERC,N/A,Unknown,"severe weather, cold"
Public Appeal,2014,1/7/2014,6:00 AM,1/7/2014,8:30 AM,Memphis Light Gas and Water Division,Tennessee,SERC,N/A,Unknown,"severe weather, cold"
Severe Weather,2014,1/7/2014,6:18 AM,1/7/2014,6:19 AM,PJM Interconnection,Pennsylvania,RFC,N/A,Unknown,"severe weather, cold"
Public Appeal,2014,1/6/2014,10:00 PM,1/6/2014,10:01 PM,Louisville Gas & Electric Co,Kentucky,RFC,N/A,Unknown,"severe weather, cold"
Public Appeal,2014,1/6/2014,8:45 PM,1/7/2014,9:00 PM,PJM Interconnection,Unknown,RFC,N/A,Unknown,"severe weather, cold"
Voltage Reduction,2014,1/6/2014,7:50 PM,1/6/2014,8:49 PM,"UGI Utilities, Inc",Pennsylvania,RFC,200,"62,000","severe weather, cold"
Voltage Reduction,2014,1/6/2014,7:52 PM,1/6/2014,8:45 PM,Delmarva Power & Light Company,Delaware,RFC,N/A,Unknown,"severe weather, cold"
Voltage Reduction,2014,1/6/2014,7:50 PM,1/6/2014,8:44 PM,Potomac Electric Power Co,District of Columbia,RFC,N/A,Unknown,"severe weather, cold"
Voltage Reduction,2014,1/6/2014,7:50 PM,1/6/2014,8:44 PM,PJM Interconnection,Unknown,RFC,N/A,Unknown,"severe weather, cold"
Voltage Reduction,2014,1/6/2014,7:50 PM,1/6/2014,8:44 PM,PPL Electric Utilities Corp,Pennsylvania,RFC,N/A,Unknown,"severe weather, cold"
Vandalism,2014,1/6/2014,2:37 PM,1/6/2014,2:38 PM,PacifiCorp,Utah,RFC,N/A,N/A,vandalism
Public Appeal,2014,1/6/2014,7:01 AM,1/7/2014,9:00 AM,ERCOT,Texas,TRE,N/A,N/A,"severe weather, cold"
Physical Attack,2013,12/30/2013,11:00 AM,12/30/2013,11:01 AM,PacifiCorp,Salt Lake County Utah,WECC,N/A,N/A,"vandalism, physical"
Physical Attack,2013,12/30/2013,11:00 AM,1/1/2014,8:00 AM,Arizona Public Service Co,North of Roosevelt lake Arizona,WECC,N/A,N/A,"vandalism, physical"
Physical Attack,2013,12/27/2013,9:43 AM,12/27/2013,12:43 PM,Arizona Public Service Co,Gilabend Arizona,WECC,N/A,N/A,"vandalism, physical"
Ice and Snow,2013,12/23/2013,3:20 PM,12/25/2013,11:32 AM,Central Maine Power Co,Central Maine Maine,NPCC,N/A,"52,500","severe weather, winter storm"
Ice and Snow,2013,12/22/2013,6:16 AM,12/24/2013,11:59 PM,Niagara Mohawk Power Corp.,Frontier/Genesee/Northern New York,NPCC,N/A,"59,000","severe weather, winter storm"
Ice and Snow,2013,12/22/2013,3:28 AM,12/28/2013,11:45 PM,Consumers Energy Co,"Southern Lower Penninsula, Michigan",RFC,N/A,"50,000","severe weather, winter storm"
Ice and Snow,2013,12/22/2013,6:30 AM,12/25/2013,5:12 AM,Detroit Edison Co,Michigan,RFC,350,"140,735","severe weather, winter storm"
Fuel Supply Emergency,2013,12/13/2013,11:00 AM,12/27/2013,11:00 AM,City of Garland,Texas,TRE,N/A,Unknown,"fuel supply emergency, coal"
Fuel Supply Emergency,2013,12/13/2013,11:00 AM,12/27/2013,11:00 AM,Texas Municipal Power Agency,Texas,TRE,N/A,Unknown,"fuel supply emergency, coal"
Physical Attack,2013,12/10/2013,1:01 AM,12/11/2013,1:01 AM,Arizona Public Service Co,Arizona,WECC,N/A,Unknown,"vandalism, physical"
Ice and Snow,2013,12/9/2013,6:54 AM,12/9/2013,2:22 PM,Dominion Virginia Power,Virginia Service Territory,SERC,293,"88,000","severe weather, winter storm"
Ice and Snow,2013,12/6/2013,1:51 AM,12/11/2013,12:00 PM,Oncor Electric Delivery Company LLC,"Greater Houston, Texas",TRE,N/A,"881,000","severe weather, winter storm"
Vandalism,2013,12/6/2013,8:47 AM,12/6/2013,8:49 AM,PacifiCorp,"Saratoga, Utah",WECC,N/A,N/A,"vandalism, physical"
Load Shed,2013,12/4/2013,5:00 AM,12/4/2013,4:17 PM,WECC - Loveland,"Idaho Falls Area Idaho, Utah-Idaho Border Utah",WECC,150,Unknown,load shedding
Vandalism,2013,11/24/2013,7:38 AM,11/24/2013,7:39 AM,Pacific Gas & Electric Co,Salt Lake County Utah,WECC,N/A,N/A,"vandalism, physical"
Storm,2013,11/21/2013,7:45 PM,11/22/2013,3:20 AM,Pacific Gas & Electric Co,Northern California,WECC,150,"89,500","severe weather, wind"
Vandalism,2013,11/20/2013,3:08 AM,11/20/2013,3:09 AM,Pacific Gas & Electric Co,Salt Lake County Utah,WECC,N/A,Unknown,"vandalism, physical"
Storm,2013,11/17/2013,2:31 PM,11/17/2013,10:30 PM,Commonwealth Edison Co,Entire ComEd Territory Illinois,RFC,N/A,"190,000","severe weather, thunderstorm"
Ice and Snow,2013,11/17/2013,7:00 AM,11/20/2013,6:54 PM,Detroit Edison Co,Michigan,RFC,N/A,"325,325","severe weather, winter storm"
Storm,2013,11/17/2013,4:19 PM,11/18/2013,6:00 PM,American Electric Power,"Indiana, Michigan",RFC,N/A,"77,346","severe weather, thunderstorm"
Storm,2013,11/17/2013,4:47 PM,11/20/2013,4:47 PM,Duke Energy Midwest,Central Indiana,RFC,N/A,"61,705","severe weather, thunderstorm"
Storm,2013,11/17/2013,4:45 PM,11/21/2013,4:45 PM,Consumers Energy Co,Entire Lower Peninsula Michigan,RFC,N/A,"50,000","severe weather, thunderstorm"
Voltage Reduction,2013,11/17/2013,12:35 PM,11/17/2013,1:40 PM,City of Rochelle,"Rochelle, Indiana",RFC,38,"7,500",voltage reduction
Storm,2013,11/17/2013,1:06 PM,11/20/2013,1:06 PM,Northern Indiana Public Service Company,North Central Indiana,RFC,N/A,"75,065","severe weather, thunderstorm"
Severe Weather,2013,11/17/2013,4:47 PM,11/20/2013,11:59 AM,Duke Energy Indiana Inc,Central Indiana,RFC,535,"61,705","severe weather, tornado"
Severe Weather,2013,11/17/2013,12:35 PM,11/20/2013,11:00 AM,Ameren Missouri,"Central Missouri, Central Illinois",SERC,N/A,"200,000","severe weather, tornado"
Vandalism,2013,11/16/2013,3:15 PM,11/16/2013,3:16 PM,PacifiCorp,"Salt Lake County, Utah",WECC,N/A,N/A,"vandalism, physical"
Electrical System Separation,2013,11/12/2013,2:04 PM,11/12/2013,2:05 PM,Pacific Gas & Electric Co,"Valle, California",WECC,55,"48,400",islanding
Fuel Supply Emergency,2013,11/12/2013,9:14 AM,11/12/2013,10:30 AM,"Farmers' Electric Coop, Inc",Eastern Central New Mexico,SPP,N/A,Unknown,fuel supply emergency
Physical Attack,2013,11/5/2013,10:10 AM,11/7/2013,10:10 AM,Duke Energy Indiana Inc,Indiana,RFC,N/A,Unknown,"vandalism, physical"
Vandalism,2013,11/4/2013,9:04 AM,11/4/2013,9:05 AM,ISO New England,Connecicut,NPCC,N/A,Unknown,"vandalism, physical"
Vandalism,2013,11/2/2013,8:25 AM,11/2/2013,8:26 AM,PacifiCorp,"Salt Lake City, Utah",WECC,N/A,N/A,"vandalism, physical"
High Winds and Rain,2013,11/2/2013,12:00 AM,11/4/2013,6:00 AM,Puget Sound Energy,"King, Whatcom, and Skagit, Washington",WECC,N/A,"105,000","severe weather, wind"
Vandalism,2013,11/1/2013,1:26 PM,11/1/2013,1:27 PM,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,N/A,Unknown,"vandalism, physical"
Ice and Snow,2013,10/27/2013,4:27 AM,10/27/2013,10:27 PM,CenterPoint Energy,"Houston, Texas",TRE,N/A,"171,117","severe weather, hail"
Physical Attack,2013,10/26/2013,7:13 AM,10/26/2013,7:14 AM,Arizona Public Service Co,Arizona,WECC,N/A,Unknown,"vandalism, physical"
Electrical System Separation,2013,10/21/2013,5:18 AM,10/21/2013,5:33 AM,Pacific Gas & Electric Co,Location Unknown,WECC,115,433,islanding
Physical Attack,2013,10/19/2013,2:32 PM,10/19/2013,10:00 PM,Pacific Gas & Electric Co,California,WECC,N/A,Unknown,"vandalism, physical"
Cyber Attack,2013,10/16/2013,11:15 AM,10/16/2013,6:00 PM,Duke Energy Progress,"Roxboro Plant, North Carolina",SERC,0,0,"vandalism, cyber"
Physical Attack,2013,10/11/2013,2:30 PM,10/11/2013,6:30 PM,MISO - Entergy,"Keo, Arkansas",SERC,N/A,Unknown,"vandalism, physical"
Physical Attack,2013,10/6/2013,7:25 AM,10/6/2013,9:15 AM,MISO - AECC,"Jacksonville, Arkansas",SPP,N/A,"9,200","vandalism, physical"
Vandalism,2013,9/29/2013,12:00 AM,9/29/2013,1:00 AM,Entergy Systems Incorporated,Cabot Arkansas,SERC,N/A,Unknown,"vandalism, physical"
Storm,2013,9/11/2013,4:00 PM,9/15/2013,4:00 PM,Detroit Edison Co,Southeastern Michigan,RFC,400,"75,000","severe weather, thunderstorm"
Load Shed,2013,9/10/2013,5:42 PM,9/11/2013,12:02 AM,PJM Interconnection,"Erie, Pennsylvania",RFC,105,Unknown,load shedding
Storm,2013,8/30/2013,7:30 PM,8/31/2013,1:30 AM,Exelon Corporation/ComEd,Entire ComEd territory Illinois,RFC,N/A,"157,000","severe weather, thunderstorm"
Electrical System Separation,2013,8/29/2013,2:57 PM,8/29/2013,3:29 PM,Xcel Energy,"Ashland, Wisconsin",MRO,15,"7,000","islanding, severe weather"
Vandalism,2013,8/29/2013,9:50 AM,8/29/2013,9:50 AM,Empire District Electric Co,"Joplin, Missouri",SPP,N/A,Unknown,"vandalism, physical"
Vandalism,2013,8/28/2013,9:30 AM,8/28/2013,9:31 AM,PacifiCorp,Sweetwater County Wyoming,WECC,N/A,N/A,"vandalism, physical"
Vandalism,2013,8/26/2013,8:15 PM,8/26/2013,8:16 PM,Tacoma Power (TPWR),Tacoma Washington,WECC,N/A,Unknown,"vandalism, physical"
Vandalism,2013,8/23/2013,7:30 AM,8/23/2013,7:31 AM,Delmarva Power & Light Company,"New Castle, Delaware",RFC,N/A,N/A,"vandalism, physical"
Vandalism,2013,8/22/2013,12:55 PM,8/22/2013,2:45 PM,Delmarva Power & Light Company,"New Castle, Delaware",RFC,N/A,Unknown,"vandalism, physical"
Vandalism,2013,8/22/2013,8:40 AM,8/22/2013,11:49 AM,Constellation Energy Control & Dispatch - for Gila River,"Gila River, Arizona",WECC,N/A,N/A,"vandalism, physical"
Vandalism,2013,8/21/2013,2:00 PM,8/21/2013,2:01 PM,Entergy Arkansas Inc,"Cabot, Arkansas",SERC,N/A,N/A,"vandalism, physical"
Lightning,2013,8/19/2013,7:06 PM,8/20/2013,6:02 AM,Southern California Edison Co,Central California,WECC,685,"124,000","severe weather, thunderstorm"
Storm,2013,8/16/2013,4:58 PM,8/17/2013,11:58 PM,CenterPoint Energy,Houston Service Area Texas,TRE,N/A,"219,681","severe weather, thunderstorm"
Vandalism,2013,8/12/2013,11:55 AM,8/12/2013,11:59 AM,PacifiCorp,"Portland, Oregon",WECC,N/A,Unknown,vandalism
Storm,2013,8/7/2013,12:15 AM,8/7/2013,9:27 PM,We Energies,Eastern Central Wisconsin,MRO,220,"51,160","severe weather, thunderstorm"
Vandalism,2013,8/7/2013,2:30 PM,8/8/2013,1:00 PM,"Caithness Shepherds Flat, LLC","Arlington, Oregon",WECC,N/A,Unknown,"vandalism, physical"
Fuel Supply Emergency,2013,8/7/2013,7:30 AM,8/7/2013,9:14 AM,Wisconsin Public Service Corp,"Green Bay, Wisconsin",MRO,N/A,Unknown,"fuel supply emergency, natural gas"
Vandalism,2013,8/6/2013,4:00 PM,8/6/2013,5:32 PM,El Paso Electric,"Holloman Air Force Base, New Mexico",WECC,N/A,Unknown,"vandalism, physical"
Electrical System Separation,2013,8/5/2013,6:35 PM,8/5/2013,6:45 PM,WECC RC Vancouver,"Vancouver, British Columbia",WECC,N/A,Unknown,"islanding, severe weather"
Vandalism,2013,8/4/2013,3:00 AM,8/4/2013,4:00 AM,Pacificorp,Utah,WECC,N/A,N/A,"vandalism, physical"
Electrical System Separation,2013,8/1/2013,6:54 PM,8/1/2013,7:37 PM,WECC RC Vancouver,Western British Columbia,WECC,420,Unknown,islanding
Physical Attack,2013,8/1/2013,11:00 AM,8/1/2013,4:00 PM,Central Hudson Gas & Electric,"Newburgh, New York",NPCC,N/A,N/A,"vandalism, physical"
Load Shed,2013,8/1/2013,11:19 PM,8/2/2013,12:49 AM,Florida Power & Light Co,Daytona Beach Florida,FRCC,297,"104,498",load shedding
Vandalism,2013,7/25/2013,1:10 PM,7/25/2013,1:15 PM,Tacoma Power (TPWR),"Polk Substation, Tacoma Washington",WECC,N/A,N/A,"vandalism, physical"
Storm,2013,7/23/2013,11:38 PM,7/25/2013,4:30 AM,American Electric Power,"Tulsa, Oklahoma",SPP,500,"92,748","severe weather, thunderstorm"
Vandalism,2013,7/22/2013,7:00 AM,7/22/2013,3:00 PM,Terra-Gen Operating Company,California,WECC,N/A,Unknown,"vandalism, physical"
Storm,2013,7/19/2013,10:30 PM,7/21/2013,8:00 PM,Niagara Mohawk Power Corporation (dba National Grid),New York,NPCC,N/A,"74,300","severe weather, thunderstorm"
Storm,2013,7/19/2013,6:00 PM,7/20/2013,9:00 AM,Detroit Edison Co,Michigan,RFC,N/A,"156,627","severe weather, thunderstorm"
CAISO,2013,7/18/2013,11:30 AM,7/19/2013,5:30 PM,Niagara Mohawk Power Corp.,Upstate New York,NPCC,N/A,Unknown,"public appeal, severe weather, heat"
Equipment Failure,2013,7/18/2013,11:45 PM,7/19/2013,10:05 AM,San Diego Gas & Electric Co,Southern Orange County California,WECC,200,"123,000",equipment failure
Vandalism,2013,7/18/2013,3:15 AM,7/18/2013,3:59 AM,PacifiCorp,Utah,WECC,N/A,N/A,"vandalism, physical"
Fuel Supply Emergency,2013,7/17/2013,3:30 PM,7/19/2013,6:45 AM,Long Island Power Authority,"Holtsville, New York",NPCC,417,Unknown,"fuel supply emergency, natural gas"
Vandalism,2013,7/12/2013,10:00 AM,7/12/2013,10:01 AM,Tacoma Power (TPWR),Washington,WECC,N/A,Unknown,"vandalism, physical"
Vandalism,2013,7/11/2013,11:20 PM,7/14/2013,3:22 PM,Arizona Public Service Co,Arizona,WECC,455,Unknown,"vandalism, physical"
Storm,2013,7/10/2013,5:30 PM,7/11/2013,8:00 PM,American Electric Power,AEP Ohio Power Footprint,RFC,N/A,"122,314","severe weather, thunderstorm"
Physical Attack,2013,7/10/2013,2:30 PM,7/10/2013,2:45 PM,ISO New England,"Boston, Massachusetts",NPCC,0,0,"vandalism, physical"
Vandalism,2013,7/5/2013,12:05 AM,7/5/2013,1:51 AM,Pacific Gas & Electric Co,California,WECC,N/A,"2,500","vandalism, physical"
Generator Trip,2013,7/3/2013,12:04 PM,7/3/2013,12:48 PM,Puerto Rico Electric Power Authority,System-wide Puerto Rico,PR,480,"393,000","voltage reduction, generator trip"
Physical Attack,2013,7/3/2013,9:34 AM,7/3/2013,10:52 AM,Sacramento Municipal Utility District,Sacramento California,WECC,0,0,"vandalism, physical"
Load Shed,2013,7/2/2013,2:20 PM,7/5/2013,3:30 PM,Western Electricity Coordinating Council,"Alberta, Canada",WECC,200,Unknown,load shedding
Equipment Failure,2013,6/28/2013,6:02 PM,6/28/2013,8:46 PM,Southern California Edison Co,"Los Angeles and Orange Counties, California",WECC,240,"65,255",equipment failure
Vandalism,2013,6/28/2013,5:14 PM,6/28/2013,5:15 PM,Delmarva Power & Light Company,New Castle Delaware,RFC,N/A,Unknown,"vandalism, physical"
Vandalism,2013,6/28/2013,1:00 PM,6/28/2013,1:01 PM,ISO New England,Vermont,NPCC,N/A,Unknown,"vandalism, physical"
Vandalism,2013,6/27/2013,1:10 AM,6/27/2013,2:45 AM,Potomac Electric Power Company,"Richie Substation,Seat Pleasant, Maryland",RFC,N/A,Unknown,"vandalism, physical"
Storm,2013,6/27/2013,5:00 PM,6/28/2013,12:00 AM,Detroit Edison Co,South Eastern Michigan,RFC,N/A,"138,000","severe weather, thunderstorm"
Storm,2013,6/24/2013,7:30 PM,6/25/2013,5:46 PM,Exelon Corporation/ComEd,Illinois,RFC,N/A,"283,451","severe weather, thunderstorm"
Storm,2013,6/24/2013,7:30 PM,6/26/2013,5:00 PM,Northern Indiana Public Service Company,Indiana,RFC,N/A,"86,615","severe weather, thunderstorm"
Severe Weather,2013,6/23/2013,9:20 PM,6/24/2013,1:35 AM,Pacific Gas & Electric Co,Central Coast California,WECC,N/A,"148,000","severe weather, fog"
Vandalism,2013,6/22/2013,4:59 AM,6/22/2013,9:28 PM,PacifiCorp,Medford Oregon,WECC,N/A,N/A,"vandalism, physical"
Physical Attack,2013,6/22/2013,4:12 PM,6/22/2013,5:45 PM,NorthWestern Energy LLC - (MT),Eastern Montana,WECC,N/A,Unknown,"vandalism, physical"
Vandalism,2013,6/21/2013,11:14 PM,6/21/2013,11:15 PM,Delmarva Power & Light Company,New Castle Delaware,RFC,N/A,Unknown,"vandalism, physical"
Cyber Attack,2013,6/21/2013,8:31 AM,10/30/2013,2:09 PM,ITC Transmission,"Michigan, Iowa",MRO,N/A,Unknown,"vandalism, cyber"
Vandalism,2013,6/21/2013,7:40 AM,6/21/2013,12:14 PM,"Valley Electric Assn, Inc",Pahrump Nevada,WECC,N/A,"1,100","vandalism, physical"
Ice and Snow,2013,6/21/2013,3:00 AM,6/26/2013,12:00 PM,Xcel Energy,Minnesota,MRO,N/A,"193,000","severe weather, hail"
Ice and Snow,2013,6/21/2013,5:39 PM,6/24/2013,6:00 AM,Xcel Energy,Minneapolis/St. Paul area Minnesota,MRO,N/A,"400,000","severe weather, hail"
Vandalism,2013,6/20/2013,6:00 PM,6/21/2013,10:00 AM,Potomac Electric Power Co,"Richie Station (No. 123), Maryland",RFC,N/A,Unknown,"vandalism, physical"
Electrical System Separation,2013,6/19/2013,7:57 PM,6/19/2013,8:09 PM,Western Electricity Coordinating Council,"Alberta, Canada",WECC,N/A,Unknown,islanding
Electrical System Separation,2013,6/18/2013,3:51 PM,6/18/2013,4:23 PM,Western Area Power Administration,Wyoming,WECC,6,Unknown,islanding
Load Shed,2013,6/17/2013,4:17 PM,6/17/2013,6:49 PM,Tampa Electric Co,Hillsborough County Florida,FRCC,180,37,load shedding
Storm,2013,6/13/2013,8:47 PM,6/14/2013,10:47 PM,Southern Company,Southern Company Territory,SERC,550,"165,798","severe weather, thunderstorm"
Storm,2013,6/13/2013,3:20 PM,6/14/2013,9:10 PM,American Electric Power,Ohio; Virginia; West Virginia,"RFC, SERC",N/A,"90,247","severe weather, thunderstorm"
Storm,2013,6/13/2013,5:45 PM,6/14/2013,6:30 PM,Duke Energy Progress,Central and Eastern North Carolina,SERC,N/A,"53,000","severe weather, thunderstorm"
Storm,2013,6/13/2013,1:17 PM,6/14/2013,5:35 PM,Duke Energy Carolinas,Western Piedmont North Carolina,SERC,"1,000","175,000","severe weather, thunderstorm"
Storm,2013,6/13/2013,4:08 PM,6/14/2013,5:16 PM,Dominion Virginia Power,"Richmond Metro area, Virginia",SERC,900,"283,000","severe weather, thunderstorm"
Storm,2013,6/13/2013,3:30 PM,6/13/2013,4:00 PM,Potomac Electric Power Company,District of Columbia; Maryland,RFC,700,"40,000","severe weather, thunderstorm"
Electrical System Separation,2013,6/3/2013,12:50 PM,6/3/2013,1:36 PM,WECC RC Vancouver,"Alberta, Canada",WECC,N/A,Unknown,islanding
Storm,2013,5/31/2013,7:30 PM,6/1/2013,8:00 PM,Ameren Missouri,St. Louis Metro Area Missouri,SERC,N/A,"100,000","severe weather, thunderstorm"
Transmission System Interruption,2013,5/31/2013,7:07 PM,6/1/2013,2:15 PM,Coffeyville Municipal Light and Power,"Southeast Kansas, Northeast Oklahoma",MRO,102,"6,300",transmission interruption
Severe Weather,2013,5/31/2013,6:00 PM,6/4/2013,10:30 AM,Oklahoma Gas & Electric Co,"El Reno, S. Oklahoma City, Oklahoma",SPP,N/A,"127,000","severe weather, tornado"
Lightning,2013,5/31/2013,1:00 AM,5/31/2013,1:30 AM,"Southwest Power Pool, Inc.","Maumelle, Arkansas",SPP,N/A,N/A,"severe weather, thunderstorm"
Vandalism,2013,5/30/2013,10:15 AM,5/30/2013,10:16 AM,New York Power Authority,"Saranac, New York",NPCC,N/A,N/A,vandalism
Storm,2013,5/29/2013,8:58 PM,5/31/2013,2:53 PM,Niagara Mohawk Power Corp.,Central and Eastern New York,NPCC,N/A,"61,795","severe weather, thunderstorm"
Vandalism,2013,5/29/2013,9:52 AM,5/29/2013,9:53 AM,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,N/A,N/A,"vandalism, physical"
Physical Attack,2013,5/29/2013,12:00 AM,5/29/2013,12:02 AM,Dominion Virginia Power,"Henrico County, Virginia",SERC,N/A,Unknown,"vandalism, physical"
Vandalism,2013,5/28/2013,1:00 PM,5/28/2013,6:00 PM,ISO New England,Maine,NPCC,N/A,N/A,"vandalism, physical"
Voltage Reduction,2013,5/22/2013,10:51 AM,5/22/2013,10:57 AM,Puerto Rico Electric Power Authority,System wide Puerto Rico,PR,280,"197,287",voltage reduction
Generator Trip,2013,5/20/2013,5:22 PM,5/20/2013,9:09 PM,Entergy Transmission - SOC,Gonzales Area Louisiana,SERC,103,"21,800","load shedding, generator trip"
Severe Weather,2013,5/20/2013,3:00 PM,5/22/2013,5:00 PM,Oklahoma Gas & Electric Co,"Moore, Oklahoma",SPP,N/A,"41,306","severe weather, tornado"
Vandalism,2013,5/17/2013,8:35 AM,5/17/2013,8:36 AM,Delmarva Power & Light Company,"Newcastle, Delaware",RFC,N/A,Unknown,vandalism
Vandalism,2013,5/15/2013,2:11 PM,5/15/2013,2:12 PM,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,N/A,Unknown,vandalism
Vandalism,2013,5/14/2013,12:01 AM,5/14/2013,1:59 PM,PacifiCorp,"Portland, Oregon",WECC,N/A,N/A,"vandalism, physical"
Vandalism,2013,5/14/2013,10:25 AM,5/14/2013,11:42 AM,Northeast Utilities/Public Service of New Hampshire,New Hampshire,NPCC,N/A,N/A,vandalism
Fuel Supply Emergency,2013,5/13/2013,12:52 PM,Ongoing,Ongoing,California Department of Water Resources,Central California,WECC,176,Unknown,"fuel supply emergency, hydro"
Electrical System Separation,2013,5/9/2013,1:21 PM,5/9/2013,4:21 PM,WECC,"Alberta, Canada; Washington State",WECC,N/A,Unknown,islanding
Electrical System Separation,2013,5/2/2013,6:52 AM,5/2/2013,10:07 AM,WECC,Unknown,WECC,N/A,Unknown,islanding
Electrical System Separation,2013,5/1/2013,9:22 AM,5/1/2013,9:24 AM,Xcel Energy/Public Service Company of Colorado,Northeast Colorado,WECC,123,"35,230",islanding
Vandalism,2013,4/25/2013,4:00 PM,4/26/2013,10:55 AM,City and County of San Francisco,"Sunol, California",WECC,0,0,vandalism
Vandalism,2013,4/23/2013,11:00 AM,4/23/2013,11:01 AM,Delmarva Power & Light Company,"Newark, Delaware",RFC,N/A,Unknown,vandalism
Electrical System Separation,2013,4/23/2013,12:49 AM,4/23/2013,4:04 AM,Pacific Gas & Electric Co,"South of Humboldt, California",WECC,80,1,islanding
Physical Attack,2013,4/21/2013,2:11 AM,4/21/2013,12:30 PM,Tennessee Valley Authority,East Tennessee,SERC,N/A,N/A,"vandalism, physical"
Storm,2013,4/18/2013,3:00 PM,4/21/2013,3:30 AM,Detroit Edison Co,"Southeast Michigan, Michigan",RFC,N/A,"99,188","severe weather, wind"
Physical Attack,2013,4/17/2013,3:36 PM,4/17/2013,4:53 PM,Tennessee Valley Authority,"Colbert Steam Plant in Cherokee, Alabama",SERC,N/A,Unknown,"vandalism, physical"
Voltage Reduction,2013,4/16/2013,1:47 AM,4/18/2013,3:25 PM,Pacific Gas & Electric Co,California,WECC,N/A,0,vandalism
Vandalism,2013,4/9/2013,11:30 AM,4/9/2013,11:31 AM,Delmarva Power & Light Company,"Delaware City, Delaware",RFC,N/A,N/A,vandalism
Vandalism,2013,4/3/2013,11:05 AM,4/3/2013,2:00 PM,Colorado Springs Utilities,"Colorado Springs, Colorado",WECC,0,0,vandalism
Vandalism,2013,4/1/2013,8:40 AM,4/1/2013,8:41 AM,ISO New England,Connecticut,NPCC,N/A,Unknown,"vandalism, physical"
Physical Attack,2013,3/29/2013,10:16 AM,3/29/2013,10:17 AM,Baltimore Gas and Electric,Maryland,RFC,N/A,Unknown,"vandalism, physical"
Vandalism,2013,3/28/2013,1:01 PM,3/28/2013,1:02 PM,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,N/A,Unknown,vandalism
Vandalism,2013,3/27/2013,10:25 AM,3/27/2013,12:19 PM,ISO New England,Western Massachusetts,NPCC,N/A,Unknown,"vandalism, physical"
Vandalism,2013,3/23/2013,7:00 AM,3/23/2013,9:00 AM,ISO New England,Connecticut,NPCC,N/A,Unknown,vandalism
